valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.608,1985,0.0193,['The Hooters'],0.445,200493,0.951,0,5tggRH403EhmwsHH1jcdYa,0.0,2,0.076,-4.997,1,Day By Day,33,1985,0.063,147.641
0.868,1985,0.0261,['Bad Company'],0.606,197467,0.716,0,6phjC8JVoUxeRcuPEGrbYq,5.82e-06,2,0.13,-5.47,1,Rock 'n' Roll Fantasy - 2009 Remaster,31,1985-06-01,0.0285,112.299
0.7509999999999999,1985,0.133,['Gloria Estefan'],0.747,214573,0.8190000000000001,0,1ovIbIRHnG8oi4aUnh2i5d,3.43e-05,7,0.0213,-8.446,1,"1,2,3 - Remix",33,1985,0.0644,126.468
0.928,1985,0.0102,['Talking Heads'],0.618,233133,0.5660000000000001,0,2Ts6CXoCmnFilpPKdaZz4i,0.00131,11,0.0387,-10.47,0,Stay up Late,29,1985-07-10,0.0435,110.977
0.375,1985,0.00243,['Rush'],0.5710000000000001,379093,0.835,0,20mmTwCJPnoA9Gq4Qhbqaj,0.1369999999999999,4,0.0843,-7.206,0,Territories,33,1985-01-01,0.0542,126.234
0.753,1985,0.0935,['George Strait'],0.732,145093,0.465,0,0SeMq7dSWOxQobZF8FEry5,1.85e-05,3,0.0747,-15.336,1,Unwound,30,1985-01-01,0.034,139.15
0.316,1985,1.3800000000000008e-05,['The Cult'],0.529,419067,0.7190000000000001,0,30BlQWT5bV2SaI4z0np6nF,0.892,7,0.103,-9.544,1,She Sells Sanctuary (Long Version),31,1985,0.0308,139.442
0.434,1985,0.952,"['Antonio Vivaldi', 'Itzhak Perlman', 'Israel Philharmonic Orchestra']",0.468,196827,0.162,0,3RUBMVfbweULyfoVMXTOLV,0.97,4,0.106,-14.104,1,"Vivaldi: Violin Concerto in E Major, RV 269 ""La primavera"" (No. 1 from ""Il cimento dell'armonia e dell'inventione"", Op. 8): I. Allegro",32,1985-12-25,0.0387,105.306
0.727,1985,0.703,['Wilfrido Vargas'],0.493,261933,0.578,0,6eo2tTROont1uWUWKsAQG8,5.62e-06,5,0.13,-10.843,1,Volveré,39,1985-01-01,0.0358,140.912
0.906,1985,0.74,['Michael Franks'],0.701,266240,0.547,0,7mH6UmmGkLyg4h1qvv2fsw,6.620000000000001e-05,3,0.0714,-12.254,0,When I Give My Love to You (with Brenda Russell),36,1985,0.0383,157.096
